cuisine,name,original_name,address,neighborhood,phone
Other,Cafe Prima Pasta,Cafe Prima Pasta,414 71st Street,,305-867-0106
Other,Cafe South Beach,Cafe South Beach,121 5th Street,,(305) 640-5468
Other,Caffe Di Mauro- C/o Luise Mauro,Caffe Di Mauro- C/o Luise Mauro,1464 Washington Avenue,,305-673-5774
Other,Caffe Milano Llc C/o Frittella , Stefano,Caffe Milano Llc C/o Frittella , Stefano,850 Ocean Drive,,(786) 544-6595
Other,Call Me Gaby,Call Me Gaby,816 Commerce Street,,(305) 531-4800
Other,Carrot Express,Carrot Express,7145 Collins Avenue,, (786) 471-5597
Other,Casa Isola Miami,Casa Isola Miami,1418 20th Street,, (786) 558-5787
Other,Casa Tua,Casa Tua,1700 James Avenue,,305-673-1010
Other,Chalan on the Beach,Chalan on the Beach,1580 Washington Avenue,,305-532-8880
Other,Cheeseburger Baby Sobe,,Cheeseburger Baby Sobe,,1505 Washington Avenue,,305-531-7300
Other,Chez Bon Bon,Chez Bon Bon,4441 Collins Avenue,,305-695-2495
Other,Chicken Kitchen,Chicken Kitchen,1509 ALTON RD,,
Other,Chicken Kitchen,Chicken Kitchen,524 W 41ST ST,,
Other,Chotto Matte,Chotto Matte,1664 Lenox Avenue,,305-690-0743
Other,Cj's Crab Shack,Cj's Crab Shack,600 Ocean Drive,,3056045951
Other,Club Madonna,Club Madonna,1527 Washington Avenue,,(305) 534-2000
Other,Culinary Arts Catering,,Culinary Arts Catering,,1427 West Ave,,305-672-8881
Other,Cvi.che 105 South Bea,Cvi.che 105 South Bea,1245 Lincoln Road,,786-534-8651
Other,D'vine,D'vine,445 Lincoln Road,,305-674-8525
Other,Dalia,Dalia,640 Ocean Drive,,305.685.2000
Other,Deck Sixteen,Deck Sixteen,1600 Collins Avenue,,3056957400
Other,Deco Wings and Burgers,Deco Wings and Burgers,1361 Washington Avenue,,(305) 604-5690 
Other,Delicious Raw Bay Road,,Delicious Raw Bay Road,,1828 Bay Road,,(786) 452-7575
Other,Denny's,Denny's,7140 Collins Avenue,,3058666626
Other,Dfs Hospitality,Dfs Hospitality,4101 Pine tree Drive,,305-230-4200
Other,Do Not Sit on the Furniture C/o Steve Polisar,Do Not Sit on the Furniture C/o Steve Polisar,423 16th Street,,510-551-5067
Other,Dolce Italian,Dolce Italian,1690 Collins Avenue,,7869752550
Other,Dominos Pizza,Dominos Pizza,1428 Alton Road,,305-531-8211
Other,Dominos Pizza,Dominos Pizza,6544 Collins Avenue,,305-868-3030
Other,Donna Mare,Donna Mare,3921 Collins Avenue,,305.538.3373
Other,Dr. Smood C/o Simon Cooper, Officer for Inactive,Dr. Smood C/o Simon Cooper, Officer for Inactive,1800 Bay Road,,(786) 675-5412
Other,Dunkin Donuts,Dunkin Donuts,341 41st Street,,(305) 420-5492
Other,Dunkin Donuts,Dunkin Donuts,1606 Alton Road,,305-428-3923
Other,East Ocean Restaurant,East Ocean Restaurant,325 71st Street,,305-865-8000
Other,Einstein Bros Bagels/store#780,Einstein Bros Bagels/store#780,1500 Alton Road,,305-534-4003
Other,El Sole Miami,El Sole Miami,1116 Ocean Drive,,(786) 485-2200
Other,Essensia Restaurant + Lounge,Essensia Restaurant + Lounge,3025 Collins Avenue,,305.908.5458
Other,Exchange Miami,Exchange Miami,1532 Washington Avenue,,(305) 763-8264
Other,Fi’lia South Beach,Fi’lia South Beach,1610 Collins Avenue,,786-605-0819
Other,Finnegans Two C/o Jason De Castro,Finnegans Two C/o Jason De Castro,942 Lincoln Road,,305-538-7997
Other,Finnegans Way,,Finnegans Way,,1344 Ocean Drive,,305-672-7747
Other,Five Guys Properties,,Five Guys Properties,,1500 Washington Avenue,,(786) 574-5236
Other,Fl Cafe,Fl Cafe,1360 Collins Avenue,,(305) 763-8007
Other,Fontainebleau Florida Hotel Llc/dba Fresh,Fontainebleau Florida Hotel Llc/dba Fresh,4441 Collins Avenue,,(305) 674-4720
Other,Fontainebleau Florida Hotel,,Fontainebleau Florida Hotel,,4441 Collins Avenue,,305-674-4710
Other,Forte Dei Marmi,Forte Dei Marmi,150 Ocean Drive,,786.276.3095
Other,Fortune Cookies,Fortune Cookies,640 6th Street,,305-531-4022
Other,Fratelli La Bufala,Fratelli La Bufala,437 Washington Ave,,305-532-0700
Other,Freehand Miami Dba Broken Shak,Freehand Miami Dba Broken Shak,2727 Indian Creek Drive,,(305) 531-2727
Other,Fuji Teriyaki,Fuji Teriyaki,1604 WASHINGTON AVE A,,305-538-8848
Other,Gino Sorbillo Est. 1935 Pizzeria Napoletana,Gino Sorbillo Est. 1935 Pizzeria Napoletana,100 Collins Avenue,,305-381-0588
Other,Gino’s Bottega Italiana,Gino’s Bottega Italiana,6606 Collins Avenue,,(305) 397-8296
Other,Glow Bar,Glow Bar,4441 Collins Avenue,,800-548-8886
Other,Go Go Fresh Holding Llc % Mary Parados,Go Go Fresh Holding Llc % Mary Parados,926 ALTON RD B,,305-673-3137
Other,Grafa Pizza,Grafa Pizza,1357 Washington Ave,,305-397-8975
Other,Grand Beach Hotel,Grand Beach Hotel,4835 Collins Avenue,,305-538-8666
Other,Greenbrier Partners,Greenbrier Partners,3101 Indian Creek Drive,,305.763.8093
Other,Grill House,Grill House,976 W 41st Street,,305-674-9005
Other,Grk F& B,Grk F& B,1601 WASHINGTON AVE STE 120,,786-216-7343
Other,Grna Lc of Fl,Grna Lc of Fl,119 Washington Ave,,(786) 671 - 4840
Other,Groovy’s Pizza & Bar,Groovy’s Pizza & Bar,938 Lincoln Road,,305-397-8285
Other,Habitat,Habitat,2341 Collins Avenue,,(305) 604-6700
Other,Hakkasan,Hakkasan,4441 Collins Avenue,,(877) 326-7412
Other,Harat's Pub,Harat's Pub,1248 Washington Avenue<br/>CU1,,(786) 502-8882
Other,Havana 1957,Havana 1957,1410 OCEAN DR APT 01,,(305) 763-8671
Other,Havana 1957,Havana 1957,1446 WASHINGTON AVE,,305-503-3828
Other,Havana 1957 C/o Consulting Services of South Florida,Havana 1957 C/o Consulting Services of South Florida,819 Lincoln Road,,305-397-8683
Other,Havana Ocean Ten Llc C/o Consulting Services of South Florida,Havana Ocean Ten Llc C/o Consulting Services of South Florida,940 Ocean Drive,,(305) 534-3589
Other,Hear Music #13007 the Prentice-hall Corp. System,Hear Music #13007 the Prentice-hall Corp. System,605 LINCOLN RD 120,,305-534-4613
Other,Hiro's Sushi Express,Hiro's Sushi Express,1518 Washington Avenue,,North Miami Beach (305) 949-0776     Miami Beach (305) 531-6068
Other,Hoshi &,Hoshi &,5401 Collins Avenue,,305-763-8946
Other,Hosteria Romana,Hosteria Romana,429 ESPANOLA WAY,,305-532-4299
Other,Huahua's,Huahua's,1211 Lincoln Road,,305-534-8226
Other,Hyde Beach,Hyde Beach,1701 Collins Avenue,,3054552990
Other,Hyde Beach Bar,Hyde Beach Bar,1701 Collins Avenue,,305-455-2990
Other,Ice Box Cafe,Ice Box Cafe,1855 Purdy Ave,,305-538-8448
Other,Il Bolognese,Il Bolognese,1400 Ocean Drive,,305-455-0399
Other,Il Giardino. Llc C/o Craig.m. Dorne,Il Giardino. Llc C/o Craig.m. Dorne,1236 Ocean Drive,,(305) 763-4598
Other,Il Pastaiolo,Il Pastaiolo,1130 Collins Ave,,(786) 362-0152
Other,International House of Pancake,International House of Pancake,6928 Collins Avenue,,305-866-8961
Other,Inti.mo by Juan Chipoco,Inti.mo by Juan Chipoco,840 1 ST,,(305) 964-8006
Other,Iron Sushi C/o Fine David,Iron Sushi C/o Fine David,840 Washington Avenue,,305-532-6500
Other,Iron Sushi, Llc C/o Fine, David,Iron Sushi, Llc C/o Fine, David,6940 Collins Avenue,,(305) 864-1101
Other,It Miami,It Miami,1656 Collins Avenue,,(305) 397-8244
Other,J.p Miami Company Llc (#111),J.p Miami Company Llc (#111),723 N Lincoln Lane,,(786) 757-1468
Other,Jaya at the Setai,Jaya at the Setai,2001 Collins Avenue,,8559237899
Other,Jnrl Resturant,Jnrl Resturant,644 6 ST,,305-534-9333
Other,Joe & the Juice Miami,Joe & the Juice Miami,1600 COLLINS AVE,,
Other,Joe's Stone Crab,Joe's Stone Crab,11 Washington Ave,,305-673-0365
Other,Juicy Gyros C/o Chaudhry, Abid,Juicy Gyros C/o Chaudhry, Abid,6944 Collins Avenue,,305-397-8200
Other,Jules Kitchen,Jules Kitchen,3900 Collins Avenue,,(305) 538-4900
Other,Juvia,Juvia,1111 LINCOLN RD STE 300,,305-763-8272
Other,Kalamata,Kalamata,423 Washington Avenue,,(786) 953-4662
Other,Katsuya,Katsuya,1701 Collins Avenue,,305.455.2995
Other,Koa Restaurants,Koa Restaurants,1600 COLLINS AVE 103,,305 539 0960
Other,Kosushi Restaurant,Kosushi Restaurant,801 South Pointe Drive,,(786) 647-7272
Other,Krispy Krunchy Chicken,Krispy Krunchy Chicken,1359 Washington Ave,,(305) 538-8355
Other,La Cerveceria Lincoln Llc C/o Consulting Services of South Florida,La Cerveceria Lincoln Llc C/o Consulting Services of South Florida,836 Lincoln Road,,(305) 535-7400
Other,La Cerveceria Ocean Llc,La Cerveceria Ocean Llc,1412 Ocean Drive,,(786) 359-4497
Other,La Locanda,La Locanda,419 Washington Ave,,305-538-6277
Other,La Piscine,La Piscine,1500 BAY RD MASTER,,305-397-8515
Other,La Sandwicherie,La Sandwicherie,229 14th Street,,305-532-8934
Other,La Sombra Resturant and Lounge,La Sombra Resturant and Lounge,1000 Collins Avenue,,786.520.1777
Other,Lilikoi Organic Living,Lilikoi Organic Living,500 S POINTE DR STE 180,,(305) 763-8692
Other,Lingenfelser Enterprises Iii,Lingenfelser Enterprises Iii,613 LINCOLN RD,,
Other,Liquor Lounge Cafe,,Liquor Lounge Cafe,,1560 Collins Avenue,,305-672-7171
Other,Little Brazil,Little Brazil,6984 Collins Avenue,,305-397-8215
Other,Little Ceasars Pizza,Little Ceasars Pizza,6792 Collins Avenue,,(305) 763 - 8588
Other,Liv,Liv,4441 Collins Avenue,,305-674-4680
Other,Living Room at the W,Living Room at the W,2201 Collins Avenue,,(305) 938-3000 
Other,Llam Group,,Llam Group,,1330 Alton Road,,305-674-6522
Other,Lm Sunset Harbour Llc,Lm Sunset Harbour Llc,1874 Bay Road,,(305) 397-8419
Other,Lobster Shack,Lobster Shack,40 POINTE DR,,(305) 763-8230
Other,Locura Marina Inc,Locura Marina Inc,7118 Collins Avenue,,305-397-8555
Other,Lola Restaurant Grill,Lola Restaurant Grill,5555 Collins Avenue,,305-397-8848
Other,Lolo Surf Cantina,Lolo Surf Cantina,161 Ocean Drive,,(305) 735-6973
Other,Los Fuegos by Francis Mallmann,Los Fuegos by Francis Mallmann,3202 Collins Avenue,,7866555600
Other,Lost Weekend/feelgoods,Lost Weekend/feelgoods,218 Espanola Way,,305-672-1707
Other,Lt Steak & Seafood,Lt Steak & Seafood,1440 Ocean Drive,,3056730044
Other,Lucali Miami,Lucali Miami,1930 Bay Road,,305-695-4441
Other,M-3 of Miami Beach Corporation,M-3 of Miami Beach Corporation,6968 Bay Dr,,(305) 866-8111
Other,Mac's Club Deuce Bar,Mac's Club Deuce Bar,222 14th Street,,305-531-6200
Other,Macchialina Restaurant, Llc C/o Jason Klein,Macchialina Restaurant, Llc C/o Jason Klein,820 Alton Road,,305-534-2124
Other,Mango's Tropical Cafe,Mango's Tropical Cafe,900 Ocean Drive,,305-673-4422
Other,Manyplus Limited Llc D/b/a: 7 Spices C/o Khudir Noureldin,Manyplus Limited Llc D/b/a: 7 Spices C/o Khudir Noureldin,610 Lincoln Road,,(305) 647-2627
Other,Mcdonald's,Mcdonald's,1650 Washington Ave,,305-672-8031
Other,Mcdonalds,Mcdonalds,1601 Alton Road,,305-672-7055
Other,Mediterranean Cuisine, Inc,Mediterranean Cuisine, Inc,209 11th Street,,305-674-8384
Other,Mega Pizza,Mega Pizza,865 COLLINS AVE C,,305-673-3636
Other,Mi Colombia Restaurant,Mi Colombia Restaurant,702 71st Street,,305-867-1013
Other,Miami Beach Pizza,Miami Beach Pizza,247 71st Street,,305-867-6272
Other,Miami Live C/o: Hiersche, Nicholas R,Miami Live C/o: Hiersche, Nicholas R,912 71st Street,,(786) 671-5483
Other,Milos by Costas Spiliadis Inc/dba Estiatorio Milos by Costa,Milos by Costas Spiliadis Inc/dba Estiatorio Milos by Costa,730 1st Street,,305-604-6800
Other,Mister O1 Extraordinary Pizza,Mister O1 Extraordinary Pizza,1680 MICHIGAN AVE STE 101,,(305) 397-8189
Other,Monty's South Beach,Monty's South Beach,300 Alton Road,,3056721148
Other,Mr Jones,Mr Jones,320 Lincoln Road,,305-602-3117
Other,Mr. Chow of Miami,Mr. Chow of Miami,2201 Collins Avenue,,305-695-1695
Other,Mr. Pasta,Mr. Pasta,7311 Collins Avenue,,(305) 866-8020
Other,Musigny,Musigny,1211 71st Street,,(786) 803-8113
Other,My Smoothie Shop,My Smoothie Shop,1229 Washington Ave,,305-532-4440
Other,Mynt Lounge,Mynt Lounge,1921 Collins Avenue,,305-532-0727
Other,Naked Taco & Dream Sb,Naked Taco & Dream Sb,1111 Collins Avenue,,305-534-8455
Other,Natural Harvester,Natural Harvester,1534 Alton Road,,305-538-4569
Other,New Campo Argentino,New Campo Argentino,6954 Collins Avenue,,305-864-3669
Other,Nikki Beach Club,Nikki Beach Club,1 Ocean Drive,,305-538-1111
Other,Nobu Associates (south Beach), L.p.,Nobu Associates (south Beach), L.p.,4525 Collins Avenue,,(305) 695-3232
Other,North Beach Tavern,,North Beach Tavern,,6768 COLLINS AVE,,305-868-9248
Other,Oceans Ten,Oceans Ten,960 Ocean Drive,,3056041999
Other,Octopi,Octopi,825 Washington Avenue,,(305) 397-8485
Other,Ola,Ola,2360 Collins Avenue,,305-695-9125
Other,On the Rocks C/o Bratislav Vlahovic,On the Rocks C/o Bratislav Vlahovic,217 71st Street,,305-864-2444
Other,Onyx Bar at the Villa Casa Casuarina,Onyx Bar at the Villa Casa Casuarina,1116 Ocean Drive,,786-485-2200
Other,Orange Blossom Restaurant and Bar,Orange Blossom Restaurant and Bar,2000 COLLINS AVE #7,,(786) 741-7128
Other,Osteria Del Teatro,Osteria Del Teatro,1200 COLLINS AVE MASTER,,305-538-7850
Other,Ounze Corporate Llc Dba/tapelia,Ounze Corporate Llc Dba/tapelia,551 Lincoln Road,,7865220623
Other,Pajeoly Corp.,Pajeoly Corp.,710 WASHINGTON AVE STE 2,,305-673-0912
Other,Palace Bar,Palace Bar,1052 Ocean Drive,,305.531.7234
Other,Pane & Vino La Trattoria,Pane & Vino La Trattoria,1450 Washington Ave,,305-535-9027
Other,Panizza,Panizza,1229 Lincoln Road,,(305) 695-8800
Other,Panther Coffee Beach,Panther Coffee Beach,1875 Purdy Avenue,,305-677-3952
Other,Pao by Paul Qui,Pao by Paul Qui,3203 Collins Avenue,,786 655 5600
Other,Papa John's Pizza,Papa John's Pizza,1100 15th Street,,305-535-8881
Other,Papi Steak,Papi Steak,736 1st Street,,(305) 800-7274
Other,Patriot Surf, Corp. Dbamanolo Churros, Pizzas & Much More,Patriot Surf, Corp. Dbamanolo Churros, Pizzas & Much More,7300 Collins Avenue,,305-868-4381
Other,Paul,Paul,450 Lincoln Road,, (305) 531-1200
Other,Pinecrest Bakery 9, Llc % Pinecrest Bakery Llc,Pinecrest Bakery 9, Llc % Pinecrest Bakery Llc,1511 Alton Road,,786.717.5958
Other,Pines Alley Cook,Pines Alley Cook,337 W 47th Street,,305-674-7001
Other,Piola South Beach,Piola South Beach,701 Washington Avenue,,(786) 453-2132
Other,Pita Hut,Pita Hut,530 W 41st Street,,3055316090
Other,Pizza Argentina,Pizza Argentina,6995 Collins Avenue,,(305) 456-2737
Other,Pizza Bar,,Pizza Bar,,1627 Collins Avenue,,305-672-6880
Other,Pizza Days,Pizza Days,448 OCEAN DR APT 2,,305-397-8100
Other,Pizza De Miami,Pizza De Miami,601 Collins Avenue,,(305) 603-7209
Other,Pizza Rustica,Pizza Rustica,863 Washington Avenue,,305-674-8244
Other,Pizzafiore,Pizzafiore,703 71st Street,,305-865-7500
Other,Pizzafiore,Pizzafiore,1249 Washington Avenue,,(305) 672-2400
Other,Pizzette,Pizzette,1223 Lincoln Road,,786 238 7995
Other,Planta Miami Beach Lp,Planta Miami Beach Lp,850 Commerce Street,,305.397.8513
Other,Playa Cafe,,Playa Cafe,,1515 Washington Ave,,305-538-1551
Other,Plnthouse,Plnthouse,2341 Collins Avenue,,305-604-6835
Other,Pollo Tropical Restaurant % Mayer, Maria C. Esq.,Pollo Tropical Restaurant % Mayer, Maria C. Esq.,1454 Alton Road,,305-672-8888
Other,Poseidon Greek Table & Bar,Poseidon Greek Table & Bar,1131 Washington Ave,,305-534-4434
Other,Prime 112,Prime 112,112 Ocean Drive,,305-532-8112
Other,Prime Fish,Prime Fish,100 Collins Avenue,,305-532-4550
Other,Prime Italian,Prime Italian,101 OCEAN DR APT 1,,305-695-8484
Other,Pt Opco,,Pt Opco,,1200 Ocean Drive,,(305) 507-8980
Other,Puerto Sagua Restaurant,Puerto Sagua Restaurant,700 Collins Avenue,,305-673-1115
Other,Pura Vida Miami,Pura Vida Miami,110 WASHINGTON AVE STE 2,,305-535-4142
Other,Rice House of Kabob Llc C/o Roxana I Nasco P.a.,Rice House of Kabob Llc C/o Roxana I Nasco P.a.,1318 Alton Road,,305-531-0332
Other,Ricky Tiki Bar & Grill,Ricky Tiki Bar & Grill,5445 Collins AVE CU19,,305-763-8483
Other,Riviera Lofts Hotel,Riviera Lofts Hotel,318 20th Street,,305-538-7444
Other,Roni’s by the Ocean,Roni’s by the Ocean,7300 Ocean Terrace,,(305) 397-8564
Other,Rosetta Bakery,Rosetta Bakery,1666 Collins Avenue,,305-907-7705
Other,Rosetta Bakery,Rosetta Bakery,1666 Lenox Avenue,,305-907-7705
Other,Rosinella,Rosinella,525 Lincoln Road,,305-672-8777
Other,Rwsb,Rwsb,2201 Collins Avenue,,(305) 938-3112
Other,Sabai Sabai Llc,Sabai Sabai Llc,933 Normandy Drive,,305-867-1717
Other,Sabor Playa Restaurant,Sabor Playa Restaurant,7315 Collins Avenue,,305-864-8266
Other,Safron,,Safron,,1049 Washington Ave,,(305) 397-8118
Other,Sand Bar & Kitchen C/o Timothy Wilcox,Sand Bar & Kitchen C/o Timothy Wilcox,6752 Collins Avenue,,305.397.8375
Other,Santorini by Georgios,Santorini by Georgios,101 Ocean Drive,,3056726624
Other,Sardinia Enoteca Ristorante,Sardinia Enoteca Ristorante,1801 Purdy Avenue,,305-531-2228
Other,Saxony Bar,Saxony Bar,3201 Collins Avenue,,(305) 534-8800
Other,Sazon Cuban Cuisine,,Sazon Cuban Cuisine,,7305 Collins Avenue,,305-861-4727
Other,Sbarro,Sbarro,1668 Collins Avenue,,3056749388
Other,Scarpetta,Scarpetta,4441 Collins Avenue,,(305) 674-4660
Other,Segafredo Espresso,Segafredo Espresso,1040 Lincoln Road,,305-673-0047
Other,Sfc - Sushi Fly Chicken,Sfc - Sushi Fly Chicken,1575 Alton Road,,
Other,Shake Shack,Shake Shack,1111 LINCOLN RD APT 14,,305-434-7787
Other,Shepherd Artisan Coffee Llc- C/o Ben-zour, Yishay,Shepherd Artisan Coffee Llc- C/o Ben-zour, Yishay,919 COLLINS AVE STE 1,,(305) 422-9770
Other,Shepherd Triton,Shepherd Triton,2745 Collins Avenue,,(305) 422-9770
Other,Smith & Wollensky Restaurant,Smith & Wollensky Restaurant,1 Washington Ave,,305-673-2800
Other,Smoothie King Co,Smoothie King Co,1525 Alton Road,,305-672-6595
Other,Snow at the Beach,Snow at the Beach,229 9th Street,,305-801-8856
Other,Social Cafe. R.a. Frittella, Stefano,Social Cafe. R.a. Frittella, Stefano,1024 OCEAN DR CUA100,,3056722472
Other,Soho House Beach House, Llc (143 Seat Rest, Grd Fl),Soho House Beach House, Llc (143 Seat Rest, Grd Fl),4385 Collins Avenue,,786-507-7902
Other,South Bch Munchies Latin Cafe,South Bch Munchies Latin Cafe,324 Lincoln Road,,305-531-0559
Other,South Pointe Tavern,South Pointe Tavern,40 South Pointe Drive,,(305) 763-8368
Other,Southern Operations,Southern Operations,1600 Lenox Avenue,,(305) 538-5220
Other,Spice Art Restaurants, Inc./dba Jalapeno Mexican Kitchen C/o R.a. Maya Alejandro,Spice Art Restaurants, Inc./dba Jalapeno Mexican Kitchen C/o R.a. Maya Alejandro,530 Ocean Drive,,(305) 532-4747
Other,Spris Inc.%sbroggio, Graziano,Spris Inc.%sbroggio, Graziano,731 Lincoln Road,,305-673-2020
Other,Sriracha House,,Sriracha House,,1502 Washington Ave,,305-534-0303
Other,Starbucks # 21216,Starbucks # 21216,827 W 41st Street,,786-566-0341
Other,Starbucks Coffee,Starbucks Coffee,2912 Collins Avenue,,(786) 801-8718
Other,Starlite Hotel & Apts (hotel & Rest) Co Muhlrad David,Starlite Hotel & Apts (hotel & Rest) Co Muhlrad David,750 Ocean Drive,,(305) 510-8463
Other,Stk South Beach,Stk South Beach,2305 Collins Avenue,,3056046988
Other,Story,Story,136 Collins Avenue,,(305) 479-4426
Other,Stripsteak,Stripsteak,4441 Collins Avenue,, (305) 674-4780
Other,Stubborn Seed,Stubborn Seed,101 Washington Avenue,,(786) 723-3732
Other,Subway,Subway,847 Washington Avenue,,305-397-8027
Other,Subway,Subway,508 Washington Avenue,,(305) 534-6633
Other,Subway South Beach,Subway South Beach,1614 Washington Ave,,305-531-5855
Other,Sunny Poke,Sunny Poke,1784 West Avenue,,(305) 974-1970
Other,Sushi by Bou,Sushi by Bou,1116 Ocean Drive,,(305) 922-9195
Other,Sushi Garage, Llc- C/o Michael Reyes,Sushi Garage, Llc- C/o Michael Reyes,1784 WEST AVE BAY #1,,305-763-8355
Other,Sushi Song,Sushi Song,1239 Washington Ave,,(786) 536-2500
Other,Suviche Sushi and Ceviche,Suviche Sushi and Ceviche,1119 16th Street,,305-777-3555
Other,Sweet Liberty,Sweet Liberty,237 20th Street STE B,,305-763-8217
Other,Taco Rico,Taco Rico,409 15th Street,,305-535-5757
Other,Tanuki, Llc,Tanuki, Llc,1080 Alton Road,,(786) 977-3338
Other,Taquiza,Taquiza,1351 Collins Avenue,,(305) 203-2197
Other,Taste Bakery Mb City Hall,Taste Bakery Mb City Hall,773 17th Street,,(305) 397-8573
Other,Taste Buds of India,Taste Buds of India,946 Normandy Drive,,(786) 773-2033 
Other,Tasti D-lite Cafe,Tasti D-lite Cafe,4041 Royal Palm Avenue,,305-673-5483
Other,Taverna,Taverna,719 Lincoln Road,,(305) 497-4445
Other,Tb Purdy Restaurant,Tb Purdy Restaurant,1787 Purdy Avenue,,(786) 655-4365
Other,Tequiztlan Mexican Restaurant and Tequila Bar,Tequiztlan Mexican Restaurant and Tequila Bar,1884 Bay Road,,305-397-8442
Other,Texas De Brazil,Texas De Brazil,300 Alton Road,, (305) 695-7702
Other,Tgi Fridays,Tgi Fridays,500 Ocean Drive,,305-673-8443
Other,Thai House South Beach,,Thai House South Beach,,1137 Washington Avenue,,3055314841
Other,The Alley,The Alley,1433 Collins Avenue,,(305) 760-6903
Other,The Bar & the Courtyard,The Bar & the Courtyard,2001 Collins Avenue,,(305) 520-6700
Other,The Bazaar by José Andrés,The Bazaar by José Andrés,1701 Collins Avenue,,3054552999
Other,The Carlyle Cafe,The Carlyle Cafe,1250 Ocean Drive,,305-531-3238
Other,The Gran Cafe,The Gran Cafe,100 COLLINS AVE CU-15,,(305) 794-3794
Other,The Licking South Beach,,The Licking South Beach,,754 WASHINGTON AVE CU-4,,(305) 397-8588
Other,The Lido Bayside Grill,The Lido Bayside Grill,40 Island Avenue,,(305) 673-1717
Other,The Local House,The Local House,400 Ocean Drive,,(786) 230-8396
Other,The Matador Room,The Matador Room,2901 Collins Avenue,,786-257-4500
Other,The New Rok,,The New Rok,,1905 Collins Avenue,,(786) 610-4200
Other,The Sandbox,The Sandbox,2395 Collns Avenue,,(305) 604-6700
Other,The Scape Goat,The Scape Goat,100 Collins Avenue,,786.275.6488
